Species;Family;Region;Continent;Realm;First_Observation;IntentionalRelease;Latest_Reference;Latest_Reference_Year
Cosmopterix feminella;Cosmopterigidae;Italy;Europe;Palearctic;2015;0;Koster, S., et al. (2019). The Eastern Palaearctic Cosmopterix feminella Sinev, 1988, introduced in Italy: taxonomy, biology and a new synonymy (Lepidoptera, Cosmopterigidae). Nota Lepidopterologica. 42: 49-61;2019
Crasimorpha infuscata;Gelechiidae;Hawaii;Oceania;Nearctic;;1;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Cremastobombycia lantanella;Gracillariidae;Hawaii;Oceania;Nearctic;1902;1;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Cremastobombycia lantanella;Gracillariidae;South Africa;Africa;Afrotropical;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Crocidolomia pavonana;Crambidae;Japan;Asia;Oriental;1989;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Crocidolomia pavonana;Crambidae;Japan;Asia;Sino-Japanese;1989;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Crocidophora butleri;Crambidae;France;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Crocidosema aporema;Tortricidae;Chile;South America;Neotropical;1930;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Crocidosema aporema;Tortricidae;United States;North America;Nearctic;1998;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema lantana;Tortricidae;Australia;Australia;Australian;1914;1;Mally, R., et al. (2022), Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset. Available at: https://doi.org/10.5061/dryad.31zcrjdnw;2022
Crocidosema lantana;Tortricidae;Galapagos;South America;Neotropical;;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Crocidosema lantana;Tortricidae;Kenya;Africa;Afrotropical;;0;Gilligan, T., et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594;2020
Crocidosema lantana;Tortricidae;Madagascar;Africa;Madagascan;;0;Gilligan, T., et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594;2020
Crocidosema lantana;Tortricidae;Hawaii;Oceania;Nearctic;1902;1;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Crocidosema lantana;Tortricidae;South Africa;Africa;Afrotropical;;1;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Crocidosema plebejana;Tortricidae;United Arab Emirates;Asia;Saharo-Arabian;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;Australia;Australia;Australian;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;Austria;Europe;Palearctic;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;Democratic Republic of the Congo;Africa;Afrotropical;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;Costa Rica;North America;Panamanian;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;Cuba;North America;Panamanian;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
